장기요양기관코드,기관유형코드,기관유형명,정원,현원,
34729028919,C02,재가장기요양기관 방문목욕,0 ,0 ,
34729028920,C01,재가장기요양기관 방문요양,0 ,36 ,
34729028920,C03,재가장기요양기관 주야간보호,40 ,40 ,
34729028921,C01,재가장기요양기관 방문요양,0 ,0 ,
34729028921,C02,재가장기요양기관 방문목욕,0 ,0 ,
34729028924,C01,재가장기요양기관 방문요양,0 ,0 ,
34729028924,C03,재가장기요양기관 주야간보호,26 ,19 ,
34729028927,C01,재가장기요양기관 방문요양,0 ,38 ,
34729028927,C02,재가장기요양기관 방문목욕,0 ,0 ,
34729028927,C03,재가장기요양기관 주야간보호,47 ,32 ,
34729028929,C03,재가장기요양기관 주야간보호,59 ,50 ,
34729028934,C03,재가장기요양기관 주야간보호,23 ,4 ,
34729028935,C03,재가장기요양기관 주야간보호,40 ,18 ,
34729028936,C01,재가장기요양기관 방문요양,0 ,11 ,
34729028937,C01,재가장기요양기관 방문요양,0 ,64 ,
34729028937,C02,재가장기요양기관 방문목욕,0 ,6 ,
34729028939,C01,재가장기요양기관 방문요양,0 ,44 ,
34729028943,C01,재가장기요양기관 방문요양,0 ,70 ,
34729028943,C02,재가장기요양기관 방문목욕,0 ,0 ,
34729028944,C01,재가장기요양기관 방문요양,0 ,0 ,
34729028944,C02,재가장기요양기관 방문목욕,0 ,0 ,
34729028945,C01,재가장기요양기관 방문요양,0 ,95 ,
34729028945,C02,재가장기요양기관 방문목욕,0 ,73 ,
34729028948,C01,재가장기요양기관 방문요양,0 ,35 ,
34729028949,C01,재가장기요양기관 방문요양,0 ,0 ,
34729028949,C02,재가장기요양기관 방문목욕,0 ,0 ,
34729028949,C03,재가장기요양기관 주야간보호,44 ,21 ,
34729028952,C01,재가장기요양기관 방문요양,0 ,0 ,
34729028952,C03,재가장기요양기관 주야간보호,41 ,22 ,
34729028955,C03,재가장기요양기관 주야간보호,23 ,11 ,
34729028956,C01,재가장기요양기관 방문요양,0 ,0 ,
34729028956,C02,재가장기요양기관 방문목욕,0 ,0 ,
34729028956,C03,재가장기요양기관 주야간보호,42 ,41 ,
34729028957,C01,재가장기요양기관 방문요양,0 ,0 ,
34729028957,C02,재가장기요양기관 방문목욕,0 ,0 ,
34729028957,C03,재가장기요양기관 주야간보호,47 ,31 ,
34729028958,C01,재가장기요양기관 방문요양,0 ,3 ,
34729028958,C03,재가장기요양기관 주야간보호,37 ,15 ,
34772000037,C01,재가장기요양기관 방문요양,0 ,42 ,
34772000037,C02,재가장기요양기관 방문목욕,0 ,12 ,
34772000039,C01,재가장기요양기관 방문요양,0 ,0 ,
34772000039,C02,재가장기요양기관 방문목욕,0 ,0 ,
34772000042,C01,재가장기요양기관 방문요양,0 ,25 ,
34772000044,C01,재가장기요양기관 방문요양,0 ,126 ,
34772000045,C01,재가장기요양기관 방문요양,0 ,0 ,
34772000047,C01,재가장기요양기관 방문요양,0 ,63 ,
34772000048,C01,재가장기요양기관 방문요양,50 ,31 ,
34772000048,C02,재가장기요양기관 방문목욕,50 ,65 ,
